Time (d);Temp (°C);DiffPress (bar);DTS (ppm);FeedQ (LMH);SaltPass (%)
701,5089606;1,845720721;0,371128609;0,396258503;0,99233814;2,1475649
703,9318996;1,787162162;0,371128609;0,385941043;0,993808312;2,135850676
706,3548387;1,735923423;0,371128609;0,37611489;1,00086514;2,122462991
711,2007168;1,713963964;0,371128609;0,372675737;0,997336726;2,109075306
714,8351254;1,655405405;0,367716535;0,368253968;1,00086514;2,125809912
716,046595;1,684684685;0,377952756;0,359410431;0,999983036;2,139197597
718,4695341;1,611486486;0,377952756;0,350566893;0,999100933;2,152585282
720,8924731;1,574887387;0,379090114;0,341723356;0,996160588;2,164299507
723,7192354;1,528528529;0,384776903;0,347619048;0,994690416;2,17434027
728,1612903;1,523648649;0,374540682;0,341723356;0,993808312;2,176013731
733,0071685;1,523648649;0,377952756;0,346145125;0,994249364;2,179360652
737,8530466;1,530968468;0,379090114;0,344671202;0,995572519;2,192748337
742,6989247;1,552927928;0,374540682;0,341723356;0,995572519;2,202789101
745,1218638;1,611486486;0,381364829;0,351549509;0,993808312;2,058871487
746,3333333;1,567567568;0,367716535;0,353514739;0,993808312;2,072259172
747,5448029;1,670045045;0,374540682;0,3638322;0,993808312;2,085646857
751,1792115;1,684684685;0,371128609;0,365306122;0,994249364;1,991933062
752,390681;1,728603604;0,371128609;0,359410431;0,995572519;2,125809912
757,2365591;1,757882883;0,364304462;0,368253968;0,996013571;2,139197597
762,0824373;1,787162162;0,364304462;0,368253968;0,996895674;2,152585282
